,AUS,CAN,DEN,FIN,FRA,GER,ITA,JAP,NET,SWE,SWI,UK,US
1970,4.372826,3.34604,6.514837,2.740442,5.299646,3.450237,4.96832,6.974841,3.668919,7.016366,3.615995,6.366568,5.838255
1971,4.704262,2.704918,5.869877,6.475761,5.397514,5.240975,4.791667,6.350421,7.477687,7.395542,6.573221,9.44484,4.292767
1972,6.355141,4.988029,6.562348,6.662487,6.063004,5.484938,5.749503,4.844125,7.802798,6.00739,6.660002,7.071091,3.272278
1973,7.531081,7.487647,9.303389,10.75448,7.380597,7.032024,10.79862,11.6194,8.022207,6.717996,8.754675,9.196044,6.17776
1974,9.521791,10.99717,15.2752,16.93639,13.64932,6.986428,19.15977,23.17623,9.591417,9.911724,9.767415,16.04399,11.0548
1975,8.445255,10.67219,9.605614,17.81139,11.68593,5.910336,16.9505,11.77841,10.21748,9.779878,6.696594,24.20729,9.143147
1976,7.318689,7.541739,9.010302,14.3427,9.625493,4.246631,16.61417,9.391278,8.830647,10.24922,1.715474,16.55952,5.744812
1977,5.49461,7.976445,10.92224,11.79335,9.494556,3.734169,17.13004,8.136054,6.399296,11.4418,1.296002,15.84027,6.501684
1978,3.574322,8.973723,10.21365,7.79935,9.250559,2.718691,12.09402,4.214897,4.112017,9.995264,1.028789,8.263139,7.630964
1979,3.707406,9.144677,9.611055,7.466955,10.64674,4.043622,14.79858,3.694314,4.199296,7.209786,3.647644,13.42129,11.25447
1980,6.328318,10.12922,12.30532,11.59462,13.56258,5.441055,21.06417,7.812318,6.513452,13.70632,4.022499,17.96593,13.5492
1981,6.803043,12.47161,11.76739,11.30575,13.3144,6.344242,17.9693,4.913607,6.73893,12.10394,6.49031,11.87662,10.33471
1982,5.436026,10.76897,10.12082,9.58493,11.97848,5.241046,16.48041,2.717447,5.911094,8.589185,5.655101,8.59887,6.131427
1983,3.339167,5.863588,6.908229,8.366291,9.459548,3.293413,14.64659,1.873935,2.740841,8.873021,2.949831,4.609302,3.212435
1984,5.663189,4.304778,6.290782,7.067658,7.673803,2.405797,10.79449,2.291954,3.301638,8.044243,2.931436,4.960712,4.300536
1985,3.189511,3.962031,4.678746,5.195623,5.831099,2.066233,9.205993,2.038658,2.258587,7.372575,3.43539,6.071394,3.545644
1986,1.705446,4.194786,3.678187,2.933578,2.538527,-0.1294139,5.823544,0.6031477,0.08334722,4.23591,0.7503089,3.427615,1.898048
1987,1.401955,4.356109,4.01999,4.113027,3.288898,0.2499074,4.747284,0.1405152,-0.6912059,4.188571,1.440328,4.148918,3.664563
1988,1.91572,4.028234,4.535135,5.085932,2.700817,1.274121,5.058249,0.6641721,0.7379455,5.824899,1.872459,3.912792,4.077741
1989,2.568347,4.983622,4.772727,6.592911,3.498302,2.780563,6.259837,2.27674,1.082161,6.443276,3.155289,5.2,4.827003
1990,3.261872,4.780477,2.6416,6.149561,3.194282,2.69647,6.456608,3.034708,2.454089,10.36655,5.403954,7,5.397956
1991,3.337426,5.625864,2.395153,4.310215,3.213407,4.047034,6.25,3.29806,3.158203,9.444628,5.859586,7.5,4.234964
1992,4.020847,1.490133,2.096042,2.919323,2.36376,5.05698,5.270588,1.707359,3.183581,2.374367,4.037009,4.3,3.02882
1993,3.631786,1.865079,1.257862,2.190654,2.104463,4.474576,4.626732,1.267416,2.584182,4.728173,3.292629,2.5,2.951657
1994,2.953407,0.1655629,1.992014,1.088558,1.655515,2.693056,4.051841,0.6879403,2.801527,2.158138,0.8521415,2,2.607442
1995,2.243364,2.14876,2.083605,0.7912362,1.796481,1.706161,5.235423,-0.1234771,1.92322,2.455149,1.7998,2.6,2.80542
1996,1.860974,1.570531,2.1263,0.6291981,1.982884,1.449726,4.00698,0.1318718,2.113793,0.533132,0.811658,2.5,2.931204
1997,1.305983,1.621216,2.182167,1.192557,1.203943,1.939369,2.043106,1.761462,2.109246,0.6584103,0.5202146,1.8,2.33769
1998,0.9224669,0.9959425,1.845651,1.399471,0.6511269,0.9111845,1.955088,0.6632695,1.959136,-0.2671327,0.01794886,1.6,1.552279
1999,0.5689865,1.734843,2.497795,1.162237,0.5371416,0.5854336,1.663458,-0.3294496,2.157179,0.4621758,0.8064469,1.3,2.188027
2000,2.344868,2.71944,2.903277,3.042096,1.67596,1.440268,2.537687,-0.6530151,2.360522,0.8991438,1.558518,0.8,3.376857
2001,2.65,2.52512,2.337875,2.578441,1.634781,1.983857,2.785166,-0.8033758,4.155841,2.405958,0.9890171,1.2,2.826171
2002,1.810359,2.258394,2.424437,1.571221,1.923412,1.420807,2.46532,-0.8998691,3.287531,2.158482,0.6427084,1.3,1.586032
2003,1.355554,2.758563,2.075078,0.8774385,2.098472,1.034223,2.672559,-0.2476473,2.091998,1.925655,0.6382989,1.4,2.270095
2004,2.061207,1.857259,1.154357,0.1871234,2.14209,1.665736,2.206736,-0.008275406,1.263647,0.3736598,0.8028826,1.3,2.677237
2005,2.299138,2.213552,1.817815,0.6238712,1.745869,1.546911,1.985294,-0.273111,1.68813,0.4531709,1.171951,2.1,3.392747
2006,1.441547,2.002025,1.924221,1.566667,1.675125,1.577429,2.090843,0.2406639,1.101501,1.360215,1.059525,2.3,3.225944
2007,2.168556,2.138384,1.693266,2.510666,1.487998,2.298341,1.829738,0.05795182,1.613859,2.212169,0.7323366,2.3,2.852673
2008,3.215951,2.370271,3.416268,4.065952,2.812862,2.628383,3.347834,1.37349,2.486502,3.437049,2.426048,3.6,3.8391
2009,0.5063094,0.2994668,1.30471,1.12337E-14,0.08762048,0.3127377,0.7747682,-1.346719,1.189777,-0.4944606,-0.4804679,2.2,-0.3555463
2010,1.813532,1.776872,2.310924,1.184135,1.531123,1.103809,1.525516,-0.7197816,1.275306,1.157988,0.6882334,3.3,1.640043
2011,3.286583,2.912135,2.758682,3.416809,2.111598,2.075173,2.780633,-0.2833333,2.34107,2.961151,0.2313366,4.5,3.156842
2012,2.485675,1.515678,2.397915,2.808332,1.954195,2.008491,3.041363,-0.03342805,2.455548,0.8883775,-0.6925458,2.8,2.069337
2013,2.000158,0.9382919,0.7890718,1.478288,0.8637155,1.504722,1.219992,0.3594716,2.506899,-0.04429297,-0.2173085,2.6,1.464833
